x,y,z,
8.123916493,0.000000000,0.000000000,
10.811136715,0.945851902,0.000000000,
18.169235916,3.203726511,0.000000000,
15.852699030,4.247717903,0.000000000,
14.213566543,5.173315145,0.000000000,
11.714109899,5.462379155,0.000000000,
11.658320036,6.730934211,0.000000000,
9.482626054,6.639806245,0.000000000,
8.760143496,7.350633177,0.000000000,
6.423041156,6.423041156,0.000000000,
6.467423971,7.707575752,0.000000000,
5.210795113,7.441786655,0.000000000,
3.985679901,6.903400091,0.000000000,
3.344717274,7.172769342,0.000000000,
2.578852196,7.085338176,0.000000000,
1.829083444,6.826232343,0.000000000,
1.147792705,6.509455903,0.000000000,
0.538319094,6.153015404,0.000000000,
-0.000000000,5.884762218,0.000000000,
-0.514153230,5.876798306,0.000000000,
-1.096696123,6.219672787,0.000000000,
-1.708999113,6.378071521,0.000000000,
-1.977697562,5.433679393,0.000000000,
-2.396477141,5.139261815,0.000000000,
-4.630112302,8.019589752,0.000000000,
-4.121611871,5.886271778,0.000000000,
-4.500814547,5.363861906,0.000000000,
-6.571844229,6.571844229,0.000000000,
-5.229614178,4.388167328,0.000000000,
-7.059567950,4.943162695,0.000000000,
-9.494064462,5.481400673,0.000000000,
-4.799180531,2.237894634,0.000000000,
-6.918654343,2.518184242,0.000000000,
-9.025608227,2.418404436,0.000000000,
2.010529273,-0.354510556,0.000000000,
8.451025304,-0.739368909,0.000000000,
15.764070194,0.000000000,0.000000000,
5.513008030,0.482325705,0.000000000,
3.319016374,0.585232136,0.000000000,
-3.842094237,-1.029486048,0.000000000,
-5.939799304,-2.161910144,0.000000000,
-3.049331048,-1.421926420,0.000000000,
-8.444619831,-4.875503533,0.000000000,
-6.241544214,-4.370376309,0.000000000,
-5.969980143,-5.009408136,0.000000000,
-6.784722170,-6.784722170,0.000000000,
-5.892755417,-7.022712438,0.000000000,
-5.726984544,-8.178981560,0.000000000,
-6.501585868,-11.261077053,0.000000000,
-3.956951032,-8.485708873,0.000000000,
-2.758007813,-7.577564189,0.000000000,
-1.802488153,-6.726977367,0.000000000,
-1.082797373,-6.140849056,0.000000000,
-0.529728388,-6.054823186,0.000000000,
-0.000000000,-6.231695566,0.000000000,
0.571402764,-6.531163480,0.000000000,
1.259216443,-7.141371323,0.000000000,
2.293923876,-8.561040454,0.000000000,
3.979373282,-10.933238237,0.000000000,
5.127485239,-10.995927580,0.000000000,
5.404122837,-9.360215324,0.000000000,
6.300532764,-8.998093308,0.000000000,
5.756352542,-6.860153823,0.000000000,
7.185518415,-7.185518415,0.000000000,
7.085296766,-5.945269903,0.000000000,
8.422233308,-5.897311251,0.000000000,
8.361596681,-4.827570095,0.000000000,
10.411565261,-4.854992614,0.000000000,
9.868430975,-3.591815134,0.000000000,
10.921778452,-2.926481716,0.000000000,
12.945756695,-2.282686191,0.000000000,
10.107341002,-0.884277756,0.000000000,
8.123916493,-0.000000000,0.000000000,
