0,-14.3902207
0.5,-14.15281625
1,-13.93787579
1.5,-13.74797892
2,-13.58475793
2.5,-13.44918062
3,-13.34175793
3.5,-13.26269265
4,-13.21198347
4.5,-13.1894956
5,-13.19500622
5.5,-13.22823078
6,-13.28883385
6.5,-13.37642685
7,-13.49055359
7.5,-13.63066338
8,-13.79607054
8.5,-13.98589824
9,-14.19900384
9.5,-14.43388233
10,-14.68854481
10.5,-14.9603699
11,-15.24592916
11.5,-15.54079426
12,-15.83934414
12.5,-16.13460785
13,-16.41820043
13.5,-16.68043108
14,-16.91067335
14.5,-17.09806475
15,-17.23253125
15.5,-17.30600879
16,-17.31360199
16.5,-17.25435671
17,-17.13139787
17.5,-16.95138514
18,-16.72346724
18.5,-16.45804675
19,-16.16565339
19.5,-15.85610834
20,-15.538028
20.5,-15.21862139
21,-14.90369535
21.5,-14.59778164
22,-14.30431963
22.5,-14.02585071
23,-13.76420023
23.5,-13.5206357
24,-13.29599818
24.5,-13.09080815
25,-12.90534911
25.5,-12.73973251
26,-12.59394772
26.5,-12.46790017
27,-12.3614403
27.5,-12.27438544
28,-12.20653626
28.5,-12.15768922
29,-12.1276458
29.5,-12.1162196
30,-12.12324149
30.5,-12.14856372
31,-12.19206289
31.5,-12.25364239
32,-12.33323424
32.5,-12.43080069
33,-12.54633546
33.5,-12.67986492
34,-12.83144911
34.5,-13.00118259
35,-13.18919528
35.5,-13.39565303
36,-13.62075806
36.5,-13.86474894
37,-14.12790013
37.5,-14.41052061
38,-14.71295142
38.5,-15.03556137
39,-15.37874029
39.5,-15.74288872
40,-16.12840246
40.5,-16.53564996
41,-16.96493944
41.5,-17.41647185
42,-17.8902739
42.5,-18.38610356
43,-18.9033182
43.5,-19.44069265
44,-19.99617268
44.5,-20.56654951
45,-21.14704662
45.5,-21.730828
46,-22.30847498
46.5,-22.86754847
47,-23.39245324
47.5,-23.86492334
48,-24.26546331
48.5,-24.57587526
49,-24.78249926
49.5,-24.8791806
50,-24.86873984
50.5,-24.76225054
51,-24.57647261
51.5,-24.3305696
52,-24.04325237
52.5,-23.73094723
53,-23.40700494
53.5,-23.08165614
54,-22.76237223
54.5,-22.45437582
55,-22.16115151
55.5,-21.88488902
56,-21.62683896
56.5,-21.38758548
57,-21.16724887
57.5,-20.96563323
58,-20.78233244
58.5,-20.61680542
59,-20.46842902
59.5,-20.33653487
60,-20.22043461
60.5,-20.1194371
61,-20.03285974
61.5,-19.96003572
62,-19.90031844
62.5,-19.85308391
63,-19.81773177
63.5,-19.7936854
64,-19.78039135
64.5,-19.77731842
65,-19.78395648
65.5,-19.7998151
66,-19.82442219
66.5,-19.85732259
67,-19.89807671
67.5,-19.94625917
68,-20.0014576
68.5,-20.06327143
69,-20.13131084
69.5,-20.20519574
70,-20.28455487
70.5,-20.36902501
71,-20.45825025
71.5,-20.55188137
72,-20.64957531
72.5,-20.75099473
73,-20.85580766
73.5,-20.96368724
74,-21.07431154
74.5,-21.18736351
75,-21.30253093
75.5,-21.41950652
76,-21.53798815
76.5,-21.65767903
77,-21.77828805
77.5,-21.89953021
78,-22.02112708
78.5,-22.14280731
79,-22.26430726
79.5,-22.38537163
80,-22.50575411
80.5,-22.62521817
81,-22.74353777
81.5,-22.86049808
82,-22.97589632
82.5,-23.08954244
83,-23.2012599
83.5,-23.31088633
84,-23.4182742
84.5,-23.52329141
85,-23.62582179
85.5,-23.72576559
86,-23.8230398
86.5,-23.9175784
87,-24.00933256
87.5,-24.09827064
88,-24.18437814
88.5,-24.26765751
89,-24.34812787
89.5,-24.42582456
90,-24.5007986
90.5,-24.57311607
91,-24.64285734
91.5,-24.71011616
92,-24.77499871
92.5,-24.83762252
93,-24.89811527
93.5,-24.9566135
94,-25.0132612
94.5,-25.06820838
95,-25.12160937
95.5,-25.17362119
96,-25.22440168
96.5,-25.2741075
97,-25.32289207
97.5,-25.37090325
98,-25.4182809
98.5,-25.46515426
99,-25.511639
99.5,-25.55783417
100,-25.60381881
100.5,-25.64964821
101,-25.69535001
101.5,-25.74091984
102,-25.78631669
102.5,-25.83145798
103,-25.87621429
103.5,-25.92040391
104,-25.96378718
104.5,-26.00606084
105,-26.04685253
105.5,-26.08571568
106,-26.12212516
106.5,-26.15547395
107,-26.18507147
107.5,-26.21014397
108,-26.22983772
108.5,-26.24322551
109,-26.24931706
109.5,-26.24707393
110,-26.23542919
110.5,-26.21331182
111,-26.17967553
111.5,-26.13353123
112,-26.07398174
112.5,-26.00025695
113,-25.91174746
113.5,-25.8080341
114,-25.68891137
114.5,-25.55440266
115,-25.40476619
115.5,-25.24049095
116,-25.06228318
116.5,-24.87104442
117,-24.66784308
117.5,-24.45388163
118,-24.23046179
118.5,-23.99894985
119,-23.76074408
119.5,-23.51724545
120,-23.2698328
120.5,-23.0198426
121,-22.76855362
121.5,-22.51717596
122,-22.26684426
122.5,-22.01861419
123,-21.7734619
123.5,-21.53228559
124,-21.29590874
124.5,-21.06508451
125,-20.84050091
125.5,-20.62278638
126,-20.41251551
126.5,-20.2102148
127,-20.01636825
127.5,-19.83142259
128,-19.65579237
128.5,-19.48986455
129,-19.3340028
129.5,-19.18855143
130,-19.0538389
130.5,-18.93018102
131,-18.81788385
131.5,-18.71724618
132,-18.6285617
132.5,-18.55212093
133,-18.4882127
133.5,-18.43712532
134,-18.39914737
134.5,-18.37456804
135,-18.36367688
135.5,-18.36676304
136,-18.3841136
136.5,-18.41601108
137,-18.46272958
137.5,-18.5245295
138,-18.60165025
138.5,-18.69430043
139,-18.80264479
139.5,-18.92678709
